ANO_PROCEDIMENTO,ID_ARQUIVO,ID_LICITACAO
2023,715770,760998
2023,715772,760998
2023,715801,761006
2023,715806,761011
2023,715812,761012
2023,715961,760544
2023,715978,760770
2023,715984,761063
2023,715986,761064
2023,716085,760989
2023,716088,760988
2023,716089,760988
2023,716090,760988
2023,716091,760988
2023,716094,760988
2023,716095,760988
2023,716096,760988
2023,716097,760988
2023,716113,761095
2023,716156,761098
2023,716166,761103
2023,716173,761112
2023,716176,761113
2023,716263,760988
2023,716264,760988
2023,716266,760988
2023,716268,760988
2023,716270,760988
2023,716271,760988
2023,716272,760988
2023,716273,760988
2023,716274,760988
2023,716275,760988
2023,716276,760988
2023,716277,760988
2023,716278,760988
2023,716279,760988
2023,716280,760988
2023,716281,760988
2023,716282,760988
2023,716284,760988
2023,716285,760988
2023,716286,760988
2023,716287,760988
2023,716289,760988
2023,716290,760988
2023,716291,760988
2023,716292,760988
2023,716293,760988
2023,716294,760988
2023,716295,760988
2023,716296,760988
2023,716297,760988
2023,716298,760988
2023,716299,760988
2023,716300,760988
2023,716301,760988
2023,716302,760988
2023,716303,760988
2023,716304,760988
2023,716305,760988
2023,716306,760988
2023,716307,760988
2023,716309,760988
2023,716310,760988
2023,716311,760988
2023,716312,760988
2023,716313,760988
2023,716314,760988
2023,716315,760988
2023,716316,760988
2023,716318,760988
2023,716319,760988
2023,716320,760988
2023,716321,760988
2023,716322,760988
2023,716323,760988
2023,716324,760988
2023,716325,760988
2023,716326,760988
2023,716327,760988
2023,716328,760988
2023,716329,760988
2023,716330,760988
2023,716331,760988
2023,716333,760988
2023,716334,760988
2023,716335,760988
2023,716337,760988
2023,716338,760988
2023,716339,760988
2023,716341,760988
2023,716342,760988
2023,716343,760988
2023,716344,760988
2023,716345,760988
2023,716346,760988
2023,716347,760988
2023,716348,760988
2023,716349,760988
2023,716351,760988
2023,716352,760988
2023,716353,760988
2023,716355,760988
2023,716356,760988
2023,716357,760988
2023,716358,760988
2023,716359,760988
2023,716360,760988
2023,716361,760988
2023,716362,760988
2023,716363,760988
2023,716364,760988
2023,716365,760988
2023,716366,760988
2023,716368,760988
2023,716369,760988
2023,716371,760988
2023,716372,760988
2023,716373,760988
2023,716374,760988
2023,716375,760988
2023,716376,760988
2023,716377,760988
2023,716378,760988
2023,716379,760988
2023,716380,760988
2023,716381,760988
2023,716382,760988
2023,716383,760988
2023,716384,760988
2023,716385,760988
2023,716386,760988
2023,716387,760988
2023,716533,761145
2023,716534,761145
2023,716535,761145
2023,716536,761145
2023,716537,761145
2023,716544,761148
2023,716557,761154
2023,716722,761205
2023,716770,761220
2023,716866,761246
2023,716941,761270
2023,716942,761270
2023,716964,761262
2023,717015,761278
2023,717016,760971
2023,717040,761282
2023,717080,761289
2023,717129,761254
2023,717134,761256
2023,717185,761306
2023,717210,761315
2023,717211,761315
2023,717242,761330
2023,717251,761331
2023,717467,761362
2023,717503,761379
2023,717509,760827
2023,717515,761381
2023,717566,761396
2023,717576,761398
2023,717672,761422
2023,717673,761422
2023,717674,761422
2023,717675,761422
2023,717676,761422
2023,717677,761422
2023,717679,761422
2023,717680,761422
2023,717691,761422
2023,717692,761422
2023,717693,761422
2023,717694,761422
2023,717695,761422
2023,717696,761422
2023,717697,761422
2023,717698,761422
2023,717699,761422
2023,717700,761422
2023,717701,761422
2023,717702,761422
2023,717703,761422
2023,717704,761422
2023,717705,761422
2023,717706,761422
2023,717707,761422
2023,717708,761422
2023,717710,761422
2023,717711,761422
2023,717712,761422
2023,717713,761422
2023,717714,761422
2023,717715,761422
2023,717716,761422
2023,717717,761422
2023,717718,761422
2023,717719,761422
2023,717720,761422
2023,717721,761422
2023,717722,761422
2023,717723,761422
2023,711228,740202
2023,711229,740202
2023,711230,740202
2023,711231,740202
2023,712786,750371
2023,712787,750371
2023,712791,750372
2023,712793,750372
2023,713126,750428
2023,713260,750470
2023,713261,750470
2023,713263,750470
2023,713264,750470
2023,713272,750405
2023,713273,750406
2023,713286,750472
2023,713290,750473
2023,713433,750503
2023,713434,750503
2023,713435,750503
2023,713436,750503
2023,713437,750503
2023,713471,750513
2023,713494,750514
2023,713616,750540
2023,713628,750545
2023,713633,750546
2023,713686,750554
2023,713781,750573
2023,713820,750597
2023,713835,750598
2023,713888,760548
2023,713899,760549
2023,713982,760574
2023,713990,760566
2023,714047,760599
2023,714061,760600
2023,714080,760606
2023,714143,760617
2023,714197,750405
2023,714199,750406
2023,714319,760651
2023,714336,760659
2023,714373,760649
2023,714586,760623
2023,714608,760718
2023,714663,760732
2023,714751,760751
2023,714796,760765
2023,714810,760766
2023,714818,760767
2023,714839,760773
2023,714853,760775
2023,714909,760798
2023,715097,760767
2023,715116,760850
2023,715233,760589
2023,715280,760773
2023,715285,760884
2023,715331,760899
2023,715332,760899
2023,715337,760900
2023,715339,760901
2023,715556,760941
2023,715560,760943
2023,715562,760935
2023,715564,760818
2023,715569,760825
2023,715574,760831
2023,715576,760832
2023,715595,760950
2023,715596,760950
2023,715597,760950
2023,715598,760950
2023,715599,760950
2023,715611,760959
2023,715734,760991
2023,715735,760991
2023,715736,760991
2023,719589,761826
2023,719612,761828
2023,719622,761385
2023,719743,761852
2023,719778,761859
2023,719779,761859
2023,719802,761861
2023,719806,761862
2023,729866,771811
2023,729964,771838
2023,730004,771853
2023,730020,771856
2023,730016,771855
2023,730017,771855
2023,730021,771855
2023,730022,771855
2023,730085,771870
2023,730083,771871
2023,730087,771871
2023,730092,761878
2023,730100,771873
2023,730122,771878
2023,730123,771878
2023,730124,771878
2023,730146,771879
2023,730177,771887
2023,730181,771888
2023,730233,771897
2023,730245,771903
2023,730323,771913
2023,730350,771912
2023,730376,771923
2023,730469,771940
2023,730500,771946
2023,730504,771948
2023,730595,771971
2023,730653,771939
2023,730656,771982
2023,731085,771989
2023,731241,772030
2023,731242,772030
2023,731342,772049
2023,731345,772049
2023,731346,772049
2023,731398,772014
2023,731399,772014
2023,731400,772014
2023,731401,772014
2023,731402,772014
2023,731403,772014
2023,731404,772014
2023,731445,772062
2023,731447,772063
2023,731449,772064
2023,731466,772074
2023,731477,772079
2023,731483,772081
2023,731485,772082
2023,731518,772089
2023,731550,772096
2023,731563,772099
2023,731716,772123
2023,731748,772137
2023,731823,772154
2023,731857,772162
2023,731901,772172
2023,731950,772179
2023,731969,772181
2023,731970,772181
2023,731971,772181
2023,732111,781965
2023,732237,781989
2023,732238,781989
2023,732242,781990
2023,732245,781991
2023,732255,781999
2023,732280,782009
2023,732292,781992
2023,732294,781993
2023,732304,782014
2023,732307,781998
2023,732310,782017
2023,732533,782059
2023,732555,782066
2023,732559,782067
2023,732563,782068
2023,732572,782073
2023,732594,772155
2023,732658,782033
2023,732666,782099
2023,732739,782118
2023,732740,782118
2023,732756,782125
2023,732757,782124
2023,732772,782131
2023,732774,782134
2023,732789,782142
2023,732934,782168
2023,746785,792919
2023,746847,792969
2023,746875,792981
2023,746890,792986
2023,746892,792987
2023,746901,792989
2023,746919,792995
2023,746934,782076
2023,747037,793011
2023,747085,793022
2023,747162,793046
2023,747190,793063
2023,747197,793064
2023,747303,793064
2023,747303,793064
2023,747303,793064
2023,747303,793064
2023,747317,793062
2023,747326,793088
2023,747350,793096
2023,747387,793104
2023,747444,793112
2023,747466,793121
2023,747472,793123
2023,747520,793064
2023,747548,793154
2023,747557,793155
2023,717724,761422
2023,717725,761422
2023,717726,761422
2023,717727,761422
2023,717728,761422
2023,717729,761422
2023,717730,761422
2023,717731,761422
2023,717732,761422
2023,717733,761422
2023,717734,761422
2023,717735,761422
2023,717736,761422
2023,717737,761422
2023,717738,761422
2023,717739,761422
2023,717740,761422
2023,717742,761422
2023,717743,761422
2023,717744,761422
2023,717745,761422
2023,717747,761422
2023,717748,761422
2023,717749,761422
2023,717750,761422
2023,717751,761422
2023,717772,761430
2023,717778,761264
2023,718234,761549
2023,718315,761566
2023,718357,761581
2023,718403,761589
2023,718441,761596
2023,718442,761596
2023,718443,761596
2023,718444,761596
2023,718445,761596
2023,718446,761596
2023,718470,761605
2023,718471,761605
2023,718472,761605
2023,718482,761604
2023,718729,761663
2023,718807,761674
2023,718881,761688
2023,718899,761690
2023,718955,761708
2023,718990,761713
2023,718996,761714
2023,718998,761714
2023,719005,761715
2023,719123,761738
2023,719211,761748
2023,719248,761758
2023,719279,761723
2023,719280,761723
2023,719282,761723
2023,719287,761724
2023,719291,761724
2023,719300,761773
2023,719302,761774
2023,719312,761205
2023,719314,761780
2023,719436,761805
2023,732964,782181
2023,732972,782186
2023,732976,782188
2023,733016,782202
2023,733022,782203
2023,733036,782204
2023,733073,782213
2023,733074,782213
2023,733075,782213
2023,733076,782213
2023,733078,782220
2023,733165,782169
2023,733166,782169
2023,733167,782169
2023,733168,782169
2023,733169,782169
2023,733170,782169
2023,733171,782169
2023,733173,782169
2023,733183,782244
2023,733223,782254
2023,733267,782264
2023,733315,782270
2023,733385,782294
2023,733388,782296
2023,733394,782297
2023,733409,782303
2023,733414,782305
2023,733483,782319
2023,733485,782320
2023,733542,782339
2023,733577,782348
2023,733623,782062
2023,733643,782379
2023,733716,782395
2023,733724,782397
2023,733760,782403
2023,733832,782421
2023,733859,782428
2023,733894,782436
2023,733951,782455
2023,733967,782456
2023,733981,782461
2023,733982,782461
2023,733983,782461
